media_id,frame_nr,class_0,p_0,class_1,p_1,class_2,p_2,class_3,p_3,class_4,p_4,class_5,p_5,class_6,p_6,class_7,p_7,class_8,p_8,class_9,p_9
kTHNpusq654,11,hoopskirt,0.3807978630065918,groom,0.19093935191631317,overskirt,0.050554435700178146,suit,0.04355931282043457,gown,0.03542274236679077,Windsor_tie,0.014213569462299347,vestment,0.009986517950892448,cornet,0.009256777353584766,maypole,0.007565031293779612,altar,0.006849620491266251
kTHNpusq654,98,hoopskirt,0.22044070065021515,gown,0.20532327890396118,overskirt,0.09705780446529388,maillot,0.09147877246141434,maillot,0.07162284851074219,sarong,0.019077297300100327,bikini,0.01737009361386299,brassiere,0.014837314374744892,miniskirt,0.00631351675838232,feather_boa,0.004736537113785744
kTHNpusq654,0,bonnet,0.5393698215484619,wig,0.04598798230290413,shower_cap,0.04014231264591217,groom,0.03115680254995823,hair_slide,0.015611186623573303,hoopskirt,0.014453161507844925,gown,0.014362010173499584,mask,0.014139125123620033,lipstick,0.009783406741917133,bubble,0.007963037118315697
kTHNpusq654,108,tricycle,0.13543842732906342,jinrikisha,0.11168418824672699,miniskirt,0.09666428714990616,bikini,0.07504122704267502,maillot,0.04555332660675049,neck_brace,0.03286461532115936,pajama,0.031174402683973312,brassiere,0.027261435985565186,sarong,0.00854092463850975,mailbag,0.008209887892007828
kTHNpusq654,64,cauliflower,0.46295955777168274,bow_tie,0.10375544428825378,wig,0.02600359171628952,groom,0.019202815368771553,fur_coat,0.014827028848230839,bonnet,0.01108243502676487,head_cabbage,0.010882248170673847,feather_boa,0.006999232806265354,toy_poodle,0.005852747708559036,vase,0.005512693431228399
kTHNpusq654,115,cucumber,0.27656832337379456,zucchini,0.2558375597000122,head_cabbage,0.12083037942647934,acorn_squash,0.031305987387895584,ear,0.01633603684604168,ashcan,0.0066523319110274315,spaghetti_squash,0.006171789951622486,cauliflower,0.0057004354894161224,Granny_Smith,0.005574334412813187,custard_apple,0.004587266594171524
kTHNpusq654,16,bow_tie,0.5816431641578674,wig,0.08863608539104462,suit,0.03819556161761284,Windsor_tie,0.014110621996223927,bonnet,0.005311185494065285,mortarboard,0.005199298728257418,academic_gown,0.00507705844938755,groom,0.0037278339732438326,bassoon,0.0033924710005521774,oboe,0.0031372865196317434
kTHNpusq654,92,tricycle,0.13299758732318878,unicycle,0.12761984765529633,bicycle-built-for-two,0.1036546602845192,moped,0.06906575709581375,swing,0.050711050629615784,jinrikisha,0.04584021121263504,sarong,0.020462002605199814,racket,0.020452911034226418,motor_scooter,0.018048133701086044,hoopskirt,0.013420838862657547
kTHNpusq654,114,cucumber,0.3876420855522156,zucchini,0.3716708719730377,acorn_squash,0.009589828550815582,greenhouse,0.008279952220618725,chimpanzee,0.006658765021711588,gorilla,0.005452997516840696,punching_bag,0.004502850119024515,bell_pepper,0.003949888050556183,hornbill,0.0037567794788628817,toucan,0.003675243817269802
kTHNpusq654,15,bow_tie,0.6273154616355896,suit,0.053776368498802185,wig,0.04570407047867775,Windsor_tie,0.017642246559262276,groom,0.004522453062236309,bassoon,0.004048793110996485,oboe,0.0037720100954174995,mortarboard,0.003717259969562292,academic_gown,0.0033816981595009565,bonnet,0.002961829537525773
kTHNpusq654,24,hoopskirt,0.2235030084848404,gown,0.19965414702892303,overskirt,0.11801836639642715,bonnet,0.043188758194446564,brassiere,0.03483358398079872,groom,0.021670402958989143,wig,0.020541353151202202,shower_cap,0.020435839891433716,hair_spray,0.017705651000142097,maillot,0.01712607964873314
kTHNpusq654,4,bonnet,0.36977383494377136,wig,0.12608931958675385,chain_mail,0.09166459739208221,shower_cap,0.0377364456653595,hair_slide,0.020603135228157043,groom,0.016309110447764397,wool,0.01622910611331463,mask,0.016204623505473137,kimono,0.011659498326480389,sunglass,0.01048223115503788
